date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:53:22	203/203	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2008%20Mar%202018%2003:53:21%20GMT	http://wpress.getinclusive.com/robots.txt		(from )
03:53:22	24667/24667	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2008%20Mar%202018%2003:53:22%20GMT	http://wpress.getinclusive.com/	x/wpress.getinclusive.com/index.html	(from )
03:53:22	4387/4387	---M-Z	200	added ('OK')	application/javascript	etag:%221628a463f059e4189961004fa2bfc133%22	http://wpress.getinclusive.com/cdn-cgi/apps/head/lypjA0lUDjXAC-Nd9UJUgW2dwWI.js	x/wpress.getinclusive.com/cdn-cgi/apps/head/lypjA0lUDjXAC-Nd9UJUgW2dwWI.js	(from http://wpress.getinclusive.com/)
03:53:22	1629/1629	U-----	200	untouched ('OK')	text/css	etag:%225aa0366e-65d%22	http://wpress.getinclusive.com/wp-content/plugins/page-list/css/page-list.css?ver=5.1	x/wpress.getinclusive.com/wp-content/plugins/page-list/css/page-listc721.css	(from http://wpress.getinclusive.com/)
03:53:22	731/731	U-----	200	untouched ('')	application/rss+xml	etag:%22d1a757326a50d41c427898bbd41ce462%22	http://wpress.getinclusive.com/sample-page/feed	x/wpress.getinclusive.com/sample-page/feed	(from http://wpress.getinclusive.com/)
03:53:22	1198/1198	U-----	200	untouched ('OK')	text/css	etag:%225aa0169c-4ae%22	http://wpress.getinclusive.com/wp-content/themes/semplice4/style.css?ver=4.1.2	x/wpress.getinclusive.com/wp-content/themes/semplice4/style8aee.css	(from http://wpress.getinclusive.com/)
03:53:22	130881/130881	U-----	200	untouched ('OK')	text/css	etag:%225aa0169c-1ff41%22	http://wpress.getinclusive.com/wp-content/themes/semplice4/assets/css/frontend.min.css?ver=4.1.2	x/wpress.getinclusive.com/wp-content/themes/semplice4/assets/css/frontend.min8aee.css	(from http://wpress.getinclusive.com/)
03:53:23	11232/11232	U-----	200	untouched ('OK')	text/css	etag:%2259a46f2c-2be0%22	http://wpress.getinclusive.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.6-78496d1	x/wpress.getinclusive.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min45a0.css	(from http://wpress.getinclusive.com/)
03:53:23	10056/10056	U-----	200	untouched ('')	application/javascript	etag:%22573eaa90-2748%22	http://wpress.getinclusive.com/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.4.1	x/wpress.getinclusive.com/wp-includes/js/jquery/jquery-migrate.min330a.js	(from http://wpress.getinclusive.com/)
03:53:23	97184/97184	U-----	200	untouched ('')	application/javascript	etag:%225742c6ae-17ba0%22	http://wpress.getinclusive.com/wp-includes/js/jquery/jquery.js?ver=1.12.4	x/wpress.getinclusive.com/wp-includes/js/jquery/jqueryb8ff.js	(from http://wpress.getinclusive.com/)
03:53:23	156559/156559	U-----	200	untouched ('')	application/javascript	etag:%2259e4f578-2638f%22	http://wpress.getinclusive.com/wp-includes/js/mediaelement/mediaelement-and-player.min.js?ver=4.2.6-78496d1	x/wpress.getinclusive.com/wp-includes/js/mediaelement/mediaelement-and-player.min45a0.js	(from http://wpress.getinclusive.com/)
03:53:23	1193/1193	U-----	200	untouched ('')	application/javascript	etag:%2259e6bbe8-4a9%22	http://wpress.getinclusive.com/wp-includes/js/mediaelement/mediaelement-migrate.min.js?ver=4.9.4	x/wpress.getinclusive.com/wp-includes/js/mediaelement/mediaelement-migrate.mincbf4.js	(from http://wpress.getinclusive.com/)
03:53:24	1045/1045	U-----	200	untouched ('')	text/xml	etag:%2252a8c1b8-415%22	http://wpress.getinclusive.com/wp-includes/wlwmanifest.xml	x/wpress.getinclusive.com/wp-includes/wlwmanifest.xml	(from http://wpress.getinclusive.com/)
03:53:24	872/872	U--MCZ	200	updated ('OK')	text/xml	date:Thu,%2008%20Mar%202018%2003:53:24%20GMT	http://wpress.getinclusive.com/xmlrpc.php?rsd	x/wpress.getinclusive.com/xmlrpc0db0.php	(from http://wpress.getinclusive.com/)
03:53:25	0/0	---M--	200	added ('OK')	text/javascript	date:Thu,%2008%20Mar%202018%2003:53:24%20GMT	http://wpress.getinclusive.com/?wordfence_lh=1&hid=6584523FC9D5AF460715F8B69865ECDB	x/wpress.getinclusive.com/index9e50.html	(from http://wpress.getinclusive.com/)
03:53:25	2113/2113	U--MCZ	200	updated ('OK')	application/json	date:Thu,%2008%20Mar%202018%2003:53:24%20GMT	http://wpress.getinclusive.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwpress.getinclusive.com%2F	x/wpress.getinclusive.com/wp-json/oembed/1.0/embedebac.json	(from http://wpress.getinclusive.com/)
03:53:25	2199/2199	U--MCZ	200	updated ('OK')	text/xml	date:Thu,%2008%20Mar%202018%2003:53:24%20GMT	http://wpress.getinclusive.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fwpress.getinclusive.com%2F&format=xml	x/wpress.getinclusive.com/wp-json/oembed/1.0/embed5e13	(from http://wpress.getinclusive.com/)
03:53:25	329073/329073	U-----	200	untouched ('')	application/javascript	etag:%225aa0169c-50571%22	http://wpress.getinclusive.com/wp-content/themes/semplice4/assets/js/frontend.min.js?ver=4.1.2	x/wpress.getinclusive.com/wp-content/themes/semplice4/assets/js/frontend.min8aee.js	(from http://wpress.getinclusive.com/)
03:53:25	64456/64456	U--MCZ	200	updated ('OK')	application/json	date:Thu,%2008%20Mar%202018%2003:53:23%20GMT	http://wpress.getinclusive.com/wp-json/	x/wpress.getinclusive.com/wp-json/index.html	(from http://wpress.getinclusive.com/)
03:53:25	1398/1398	U-----	200	untouched ('')	application/javascript	etag:%2258359bda-576%22	http://wpress.getinclusive.com/wp-includes/js/wp-embed.min.js?ver=4.9.4	x/wpress.getinclusive.com/wp-includes/js/wp-embed.mincbf4.js	(from http://wpress.getinclusive.com/)
03:53:25	24670/24670	U--MCZ	200	updated ('OK')	text/html	date:Thu,%2008%20Mar%202018%2003:53:25%20GMT	http://wpress.getinclusive.com/work	x/wpress.getinclusive.com/work.html	(from http://wpress.getinclusive.com/)
